"","Reporter","Year","FAOGroup","FMI_Imp1"
"289","Belarus",2016,"Cephalopods",0.643528593194552
"290","Belarus",2016,"Crustaceans",0.582642522556489
"291","Belarus",2016,"Demersal fish",0.721050586984203
"292","Belarus",2016,"Freshwater & diadromous fish",0.620897720480816
"293","Belarus",2016,"Marine fish nei",0.619728050678011
"294","Belarus",2016,"Molluscs excl. cephalopods",0.567090898650186
"295","Belarus",2016,"Pelagic fish",0.723316195933522
"296","Belarus",2017,"Aquatic animals nei",0.629252171803472
"297","Belarus",2017,"Cephalopods",0.609519615899309
"298","Belarus",2017,"Crustaceans",0.537640516990174
"299","Belarus",2017,"Demersal fish",0.727041246060205
"300","Belarus",2017,"Freshwater & diadromous fish",0.627714025620348
"301","Belarus",2017,"Marine fish nei",0.604532187333352
"302","Belarus",2017,"Molluscs excl. cephalopods",0.592088519553464
"303","Belarus",2017,"Pelagic fish",0.721248538797997
"304","Belgium",2012,"Aquatic animals nei",0.555142528644153
"305","Belgium",2012,"Cephalopods",0.526480213699859
"306","Belgium",2012,"Crustaceans",0.497278950831572
"307","Belgium",2012,"Demersal fish",0.672732313018001
"308","Belgium",2012,"Freshwater & diadromous fish",0.520322333172934
"309","Belgium",2012,"Marine fish nei",0.51280651054213
"310","Belgium",2012,"Molluscs excl. cephalopods",0.563211571579335
"311","Belgium",2012,"Pelagic fish",0.607560741824057
"312","Belgium",2013,"Aquatic animals nei",0.552729298897704
"313","Belgium",2013,"Cephalopods",0.534134354693069
"314","Belgium",2013,"Crustaceans",0.495825843538724
"315","Belgium",2013,"Demersal fish",0.679483232460582
"316","Belgium",2013,"Freshwater & diadromous fish",0.516918532570873
"317","Belgium",2013,"Marine fish nei",0.504612598238843
"318","Belgium",2013,"Molluscs excl. cephalopods",0.558079520413762
"319","Belgium",2013,"Pelagic fish",0.609517701755749
"320","Belgium",2014,"Aquatic animals nei",0.55258770439263
"321","Belgium",2014,"Cephalopods",0.53349848574815
"322","Belgium",2014,"Crustaceans",0.49139708088394
"323","Belgium",2014,"Demersal fish",0.672960585237493
"324","Belgium",2014,"Freshwater & diadromous fish",0.524199060010966
"325","Belgium",2014,"Marine fish nei",0.533064009026895
"326","Belgium",2014,"Molluscs excl. cephalopods",0.557480599382845
"327","Belgium",2014,"Pelagic fish",0.615212971585292
"328","Belgium",2015,"Aquatic animals nei",0.555024776028977
"329","Belgium",2015,"Cephalopods",0.538824440031519
"330","Belgium",2015,"Crustaceans",0.497190370970293
"331","Belgium",2015,"Demersal fish",0.680403650335513
"332","Belgium",2015,"Freshwater & diadromous fish",0.527973269840295
"333","Belgium",2015,"Marine fish nei",0.533961693180114
"334","Belgium",2015,"Molluscs excl. cephalopods",0.557805398951979
